Month,100 metres,400 metres,10000 metres
1954-07,21.718,19.49,12.732
1954-08,21.718,19.49,12.732
1954-09,21.718,19.49,12.732
1954-10,21.718,19.49,12.732
1954-11,21.718,19.49,12.732
1954-12,21.718,19.49,12.732
1955-01,21.718,19.49,12.732
1955-02,21.718,19.49,12.732
1955-03,21.718,19.49,12.732
1955-04,21.718,19.49,12.732
1955-05,21.718,19.49,12.732
1955-06,21.718,19.49,12.732
1955-07,21.718,19.49,12.732
1955-08,21.718,19.49,12.732
1955-09,21.718,19.49,12.732
1955-10,21.718,19.49,12.732
1955-11,21.718,19.49,12.732
1955-12,21.718,19.49,12.732
1956-01,21.718,19.49,12.732
1956-02,21.718,19.49,12.732
1956-03,21.718,19.49,12.732
1956-04,21.718,19.49,12.732
1956-05,21.718,19.49,12.732
1956-06,21.718,19.49,12.732
1956-07,21.718,19.49,12.732
1956-08,21.718,19.49,12.732
1956-09,21.718,19.49,12.732
1956-10,21.718,19.49,12.732
1956-11,21.718,19.49,12.963
1956-12,21.718,19.49,12.963
1957-01,21.718,19.49,12.963
1957-02,21.718,19.49,12.963
1957-03,21.718,19.49,12.963
1957-04,21.718,19.49,12.963
1957-05,21.718,19.49,12.963
1957-06,21.718,19.49,12.963
1957-07,21.718,19.49,12.963
1957-08,21.718,19.49,12.963
1957-09,21.718,19.49,12.963
1957-10,21.718,19.49,12.963
1957-11,21.718,19.49,12.963
1957-12,21.718,19.49,12.963
1958-01,21.718,19.49,12.963
1958-02,21.718,19.49,12.963
1958-03,21.718,19.49,12.963
1958-04,21.718,19.49,12.963
1958-05,21.718,19.49,12.963
1958-06,21.718,19.49,12.963
1958-07,21.718,19.49,12.963
1958-08,21.718,19.49,12.963
1958-09,21.718,19.49,12.963
1958-10,21.718,19.49,12.963
1958-11,21.718,19.49,12.963
1958-12,21.718,19.49,12.963
1959-01,21.718,19.49,12.963
1959-02,21.718,19.49,12.963
1959-03,21.718,19.49,12.963
1959-04,21.718,19.49,12.963
1959-05,21.718,19.49,12.963
1959-06,21.718,19.49,12.963
1959-07,21.718,19.49,12.963
1959-08,21.718,19.49,12.963
1959-09,21.718,19.49,12.963
1959-10,21.718,19.49,12.963
1959-11,21.718,19.49,12.963
1959-12,21.718,19.49,12.963
1960-01,21.718,19.49,12.963
1960-02,21.718,19.49,12.963
1960-03,21.718,19.49,12.963
1960-04,21.718,19.49,12.963
1960-05,21.718,19.49,12.963
1960-06,21.718,19.49,12.963
1960-07,21.718,19.49,12.963
1960-08,21.931,19.49,12.963
1960-09,,19.93,13.065
1960-10,21.931,19.93,13.065
1960-11,21.931,19.93,13.065
1960-12,21.931,19.93,13.065
1961-01,21.931,19.93,13.065
1961-02,21.931,19.93,13.065
1961-03,21.931,19.93,13.065
1961-04,21.931,19.93,13.065
1961-05,21.931,19.93,13.065
1961-06,21.931,19.93,13.065
1961-07,21.931,19.93,13.065
1961-08,21.931,19.93,13.065
1961-09,21.931,19.93,13.065
1961-10,21.931,19.93,13.065
1961-11,21.931,19.93,13.065
1961-12,21.931,19.93,13.065
1962-01,21.931,19.93,13.065
1962-02,21.931,19.93,13.065
1962-03,21.931,19.93,13.065
1962-04,21.931,19.93,13.065
1962-05,21.931,19.93,13.065
1962-06,21.931,19.93,13.065
1962-07,21.931,19.93,13.065
1962-08,21.931,19.93,13.065
1962-09,21.931,19.93,13.065
1962-10,21.931,19.93,13.065
1962-11,21.931,19.93,13.065
1962-12,21.931,19.93,13.065
1963-01,21.931,19.93,13.065
1963-02,21.931,19.93,13.065
1963-03,21.931,19.93,13.065
1963-04,21.931,19.93,13.065
1963-05,21.931,19.93,13.065
1963-06,21.931,19.93,13.065
1963-07,21.931,19.93,13.065
1963-08,21.931,19.93,13.065
1963-09,21.931,19.93,13.065
1963-10,21.931,19.93,13.065
1963-11,21.931,19.93,13.065
1963-12,21.931,19.93,13.065
1964-01,21.931,19.93,13.065
1964-02,21.931,19.93,13.065
1964-03,21.931,19.93,13.065
1964-04,21.931,19.93,13.065
1964-05,21.931,19.93,13.065
1964-06,21.931,19.93,13.065
1964-07,21.931,19.93,13.065
1964-08,21.931,19.93,13.065
1964-09,21.931,19.93,13.065
1964-10,22.369,19.93,13.125
1964-11,22.369,19.93,13.125
1964-12,22.369,19.93,13.125
1965-01,22.369,19.93,13.125
1965-02,22.369,19.93,13.125
1965-03,22.369,19.93,13.125
1965-04,22.369,19.93,13.125
1965-05,22.369,19.93,13.125
1965-06,22.369,19.93,13.125
1965-07,22.369,19.93,13.125
1965-08,22.369,19.93,13.125
1965-09,22.369,19.93,13.125
1965-10,22.369,19.93,13.125
1965-11,22.369,19.93,13.125
1965-12,22.369,19.93,13.125
1966-01,22.369,19.93,13.125
1966-02,22.369,19.93,13.125
1966-03,22.369,19.93,13.125
1966-04,22.369,19.93,13.125
1966-05,22.369,19.93,13.125
1966-06,22.369,19.93,13.125
1966-07,22.369,19.93,13.125
1966-08,22.369,19.93,13.125
1966-09,22.369,19.93,13.125
1966-10,22.369,19.93,13.125
1966-11,22.369,19.93,13.125
1966-12,22.369,19.93,13.125
1967-01,22.369,19.93,13.125
1967-02,22.369,19.93,13.125
